# kaisersolver self-audit corpus (last 14d wins, both chains)
arbitrum,0x30f77f0e7baafaeaa7621f560acc74a051180da8849ef8bd8e25f4593445d4fb
arbitrum,0x26c33a1eaeaabb33d3da44c9653d6cf155044159994414b4632be0facdc51019
arbitrum,0x62d24893e3800ed03d04345320c6980ae60644c7fcf9c85933614974a8861325
arbitrum,0x4b95918b2c309a8f010866cdf8c57d3d3e7310f662c23caba38afb3b8f6a4172
arbitrum,0xc15222b8de0855ad6daac8b3b5de32453e0cd2668660c892935fc27f0cf6c7a1
arbitrum,0x0a8709208ace2c5f9e89e121f4482f06bea58aceac69b2a7a6061c643059bfff
arbitrum,0xab98034d5b5c73b401d573555d8f7d89848133be3efeabd54edfa7c941e3c6a9
arbitrum,0x378bd7c57f000bf1fd5e70edd3fec9ca297ee762a0f47c3a869295106a3fcc6c
arbitrum,0x7146ae4d8874413313c89532c33824b96984ad12e3cbd0a07c1c9bb5443b8aa4
arbitrum,0xfd568a795dcce3d6cca4df6e11d18fb164d64eb264c7aa7e72e0f2925bfecb94
arbitrum,0x21055c2f442084715ba2fdba1b8f7be058760b02350ae684717fbdb059b6581b
arbitrum,0x4903c9132e6d62dcfbf5109363aa09b4194c72d36ff668b474a44791598c092f
arbitrum,0x88da158a339b1b53e8d27a790e9cbd7cfab22bef683fd0ac4a75ae2c809b4191
arbitrum,0xc9be9d72ed9203886baa4489887edb6f8a3e4b09549a515d2506b2939d958fd9
